date,year,month,team,customer,product,category,quantity,revenue,cost,profit
2023-01-01,2023,1,영업지원팀,범우화학공업(주)시화,D-5000,세정유(상),620,2790000,2483550,306450
2023-01-01,2023,1,유통3팀,크레텍웰딩주식회사(CRETEC),D-5000,세정유(상),40,180000,159476,20524
2023-01-01,2023,1,유통5팀,(주)동신툴피아,P-ST(PL),방청유(상),6,960000,793421,166579
2023-01-01,2023,1,유통5팀,(주)청솔케미칼,P-ST(PL),방청유(상),20,3200000,2835445,364555
2023-01-01,2023,1,유통3팀,범우하이텍,P-ST(PL),방청유(상),10,1600000,1397430,202570
2023-01-01,2023,1,유통3팀,크레텍웰딩주식회사(CRETEC),P-ST(PL),방청유(상),1.1,1760000,1537173,222827
2023-01-01,2023,1,유통2팀,행복나래 주식회사,P-ST(PL),방청유(상),2,320000,379029,-59029
2023-01-01,2023,1,유통1팀,(주)덕수케미칼,WD-40 1GALLON,방청유(상),40,1160000,1025744,134256
2023-01-01,2023,1,유통1팀,(주)동명하이텍,WD-40 1GALLON,방청유(상),12,348000,307723,40277
2023-01-01,2023,1,유통5팀,(주)동신툴피아,WD-40 1GALLON,방청유(상),8,232000,193573,38427
2023-01-01,2023,1,유통5팀,수성상사,WD-40 1GALLON,방청유(상),4,116000,96786,19214
2023-01-01,2023,1,유통3팀,크레텍웰딩주식회사(CRETEC),WD-40 1GALLON,방청유(상),24,696000,613371,82629
2023-01-01,2023,1,유통1팀,한성상사,WD-40 1GALLON,방청유(상),8,232000,205148,26852
2023-01-01,2023,1,영업지원팀,범우화학공업(주)양산,DCHA,기타유제(상),80,61488000,68282061,-6794061
2023-01-01,2023,1,유통2팀,범우화학공업(주)양산,MIKROCOUNT DUO,기타유제(상),140,630000,829617,-199617
2023-01-01,2023,1,유통2팀,선우과학상사,MIKROCOUNT DUO,기타유제(상),60,390000,421274,-31274
2023-01-01,2023,1,유통2팀,주식회사비아이티범우연구소,MIKROCOUNT DUO,기타유제(상),600,2700000,3555499,-855499
2023-01-01,2023,1,유통2팀,(주)노루오토코팅,SANI CHECK BF,기타유제(상),10,97000,111469,-14469
2023-01-01,2023,1,유통2팀,선우과학상사,SANI CHECK BF,기타유제(상),20,156000,202122,-46122
2023-01-01,2023,1,유통2팀,좋은날아카데미,SANI CHECK BF,기타유제(상),10,68000,95584,-27584
2023-01-01,2023,1,유통2팀,하나종합상사,SANI CHECK BF,기타유제(상),40,340000,419581,-79581
2023-01-01,2023,1,유통3팀,(주) 성광종합상사,SPECIALIST(P),기타유제(상),18,135000,126299,8701
2023-01-01,2023,1,유통5팀,(주)동신툴피아,SPECIALIST(P),기타유제(상),6,45000,39670,5330
2023-01-01,2023,1,유통5팀,(주)제일종합상사웰딩,SPECIALIST(P),기타유제(상),6,45000,42352,2648
2023-01-01,2023,1,유통5팀,대성접착테이프,SPECIALIST(P),기타유제(상),6,45000,39670,5330
2023-01-01,2023,1,유통3팀,범우하이테크 주식회사,SPECIALIST(P),기타유제(상),18,135000,125342,9658
2023-01-01,2023,1,유통3팀,범우하이텍,SPECIALIST(P),기타유제(상),60,450000,417808,32192
2023-01-01,2023,1,유통3팀,크레텍웰딩주식회사(CRETEC),SPECIALIST(P),기타유제(상),48,360000,334246,25754
2023-01-01,2023,1,유통1팀,한성상사,SPECIALIST(P),기타유제(상),12,90000,83831,6169
2023-01-01,2023,1,유통3팀,(주) 성광종합상사,SPECIALIST(Specialist 11oz Silicone 6ct),기타유제(상),18,153000,126406,26594
2023-01-01,2023,1,유통1팀,(주)덕수케미칼,SPECIALIST(Specialist 11oz Silicone 6ct),기타유제(상),60,510000,419259,90741
2023-01-01,2023,1,유통1팀,(주)동명하이텍,SPECIALIST(Specialist 11oz Silicone 6ct),기타유제(상),12,102000,83852,18148
2023-01-01,2023,1,유통5팀,(주)제일종합상사웰딩,SPECIALIST(Specialist 11oz Silicone 6ct),기타유제(상),18,153000,127262,25738
