거래일자,담당자,거래처코드,거래처명,매출구분,품목코드,품목명,수량,단가,공급가,부가세,원가
2023-01-01,영업지원팀,KR1394,범우화학공업(주)시화,매출,501538,D-5000,620.00,"4,500.00","2,790,000.00",0.00,"2,483,550.00"
2023-01-01,유통3팀,353483,크레텍웰딩주식회사(CRETEC),매출,501538,D-5000,40.00,"4,500.00","180,000.00",0.00,"159,476.00"
2023-01-01,유통5팀,100288,(주)동신툴피아,매출,550080,P-ST(PL),6.00,"160,000.00","960,000.00",0.00,"793,421.00"
2023-01-01,유통5팀,205105,(주)청솔케미칼,매출,550080,P-ST(PL),20.00,"160,000.00","3,200,000.00",0.00,"2,835,445.00"
2023-01-01,유통3팀,450209,범우하이텍,매출,550080,P-ST(PL),10.00,"160,000.00","1,600,000.00",0.00,"1,397,430.00"
2023-01-01,유통3팀,353483,크레텍웰딩주식회사(CRETEC),매출,550080,P-ST(PL),1.10,"1,600,000.00","1,760,000.00",0.00,"1,537,173.00"
2023-01-01,유통2팀,105710,행복나래 주식회사,매출,550080,P-ST(PL),2.00,"160,000.00","320,000.00",0.00,"379,029.00"
2023-01-01,유통1팀,200063,(주)덕수케미칼,매출,550007,WD-40 1GALLON,40.00,"29,000.00","1,160,000.00",0.00,"1,025,744.00"
2023-01-01,유통1팀,100114,(주)동명하이텍,매출,550007,WD-40 1GALLON,12.00,"29,000.00","348,000.00",0.00,"307,723.00"
2023-01-01,유통5팀,100288,(주)동신툴피아,매출,550007,WD-40 1GALLON,8.00,"29,000.00","232,000.00",0.00,"193,573.00"
2023-01-01,유통5팀,904032,수성상사,매출,550007,WD-40 1GALLON,4.00,"29,000.00","116,000.00",0.00,"96,786.00"
2023-01-01,유통3팀,353483,크레텍웰딩주식회사(CRETEC),매출,550007,WD-40 1GALLON,24.00,"29,000.00","696,000.00",0.00,"613,371.00"
2023-01-01,유통1팀,103982,한성상사,매출,550007,WD-40 1GALLON,8.00,"29,000.00","232,000.00",0.00,"205,148.00"
2023-01-01,영업지원팀,700167,범우화학공업(주)양산,매출,501887,DCHA,80.00,"768,600.00","61,488,000.00",0.00,"68,282,061.00"
2023-01-01,유통2팀,700167,범우화학공업(주)양산,매출,500150,MIKROCOUNT DUO,140.00,"4,500.00","630,000.00",0.00,"829,617.00"
2023-01-01,유통2팀,200099,선우과학상사,매출,500150,MIKROCOUNT DUO,60.00,"6,500.00","390,000.00",0.00,"421,274.00"
2023-01-01,유통2팀,KR0898,주식회사비아이티범우연구소,매출,500150,MIKROCOUNT DUO,600.00,"4,500.00","2,700,000.00",0.00,"3,555,499.00"
2023-01-01,유통2팀,200290,(주)노루오토코팅,매출,501094,SANI CHECK BF,10.00,"9,700.00","97,000.00",0.00,"111,469.00"
2023-01-01,유통2팀,200099,선우과학상사,매출,501094,SANI CHECK BF,20.00,"7,800.00","156,000.00",0.00,"202,122.00"
2023-01-01,유통2팀,105457,좋은날아카데미,매출,501094,SANI CHECK BF,10.00,"6,800.00","68,000.00",0.00,"95,584.00"
2023-01-01,유통2팀,404426,하나종합상사,매출,501094,SANI CHECK BF,40.00,"8,500.00","340,000.00",0.00,"419,581.00"
2023-01-01,유통3팀,355837,(주) 성광종합상사,매출,551395,SPECIALIST(P),18.00,"7,500.00","135,000.00",0.00,"126,299.00"
2023-01-01,유통5팀,100288,(주)동신툴피아,매출,551395,SPECIALIST(P),6.00,"7,500.00","45,000.00",0.00,"39,670.00"
2023-01-01,유통5팀,207304,(주)제일종합상사웰딩,매출,551395,SPECIALIST(P),6.00,"7,500.00","45,000.00",0.00,"42,352.00"
2023-01-01,유통5팀,905179,대성접착테이프,매출,551395,SPECIALIST(P),6.00,"7,500.00","45,000.00",0.00,"39,670.00"
2023-01-01,유통3팀,500219,범우하이테크 주식회사,매출,551395,SPECIALIST(P),18.00,"7,500.00","135,000.00",0.00,"125,342.00"
2023-01-01,유통3팀,450209,범우하이텍,매출,551395,SPECIALIST(P),60.00,"7,500.00","450,000.00",0.00,"417,808.00"
2023-01-01,유통3팀,353483,크레텍웰딩주식회사(CRETEC),매출,551395,SPECIALIST(P),48.00,"7,500.00","360,000.00",0.00,"334,246.00"
2023-01-01,유통1팀,103982,한성상사,매출,551395,SPECIALIST(P),12.00,"7,500.00","90,000.00",0.00,"83,831.00"
2023-01-01,유통3팀,355837,(주) 성광종합상사,매출,551397,SPECIALIST(Specialist 11oz Silicone 6ct),18.00,"8,500.00","153,000.00",0.00,"126,406.00"
